iter	Passed	Remaining
0	2	38
1	4	36
2	5	33
3	7	30
4	9	28
5	11	26
6	13	24
7	14	22
8	16	19
9	17	17
10	19	16
11	21	14
12	23	12
13	24	10
14	26	8
15	28	7
16	30	5
17	32	3
18	34	1
19	35	0
